Prov/Terr,FED ID,Federal Electoral Districts,Total,Total Income,Under 20,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,Over 75,,,,,,,
10,10001,Avalon,72030,3433042000 ,2760 ,4430 ,4870 ,5590 ,5830 ,6220 ,6450 ,6820 ,6780 ,6750 ,6120 ,3970 ,5470 ,,,,,,,
10,10002,Bonavista--Burin--Trinity,64180,2487091000 ,2270 ,3470 ,3050 ,3360 ,3840 ,4630 ,5610 ,6260 ,6650 ,7190 ,6740 ,4450 ,6670 ,,,,,,,
10,10003,Coast of Bays--Central--Notre Dame,66890,2545490000 ,2390 ,3650 ,3400 ,3650 ,4090 ,5160 ,6010 ,6440 ,6910 ,6940 ,6510 ,4500 ,7260 ,,,,,,,
10,10004,Labrador,20770,1201446000 ,980 ,1720 ,1980 ,1990 ,1880 ,2070 ,2170 ,2000 ,1720 ,1510 ,1160 ,700 ,890 ,,,,,,,
10,10005,Long Range Mountains,75140,2848331000 ,2500 ,4410 ,4050 ,4130 ,4460 ,5470 ,6500 ,7580 ,7920 ,7960 ,7140 ,5060 ,7950 ,,,,,,,
10,10006,St. John's East,66970,3824579000 ,2540 ,5380 ,6000 ,5880 ,5700 ,5990 ,5810 ,5930 ,5640 ,5040 ,4430 ,3310 ,5340 ,,,,,,,
10,10007,St. John's South--Mount Pearl,67420,3229245000 ,2540 ,5140 ,5990 ,5780 ,5380 ,5090 ,5600 ,6540 ,6360 ,5710 ,4860 ,3350 ,5090 ,,,,,,,
TOTAL,,,433410,19569223000 ,15970 ,28180 ,29340 ,30370 ,31170 ,34630 ,38150 ,41570 ,41970 ,41090 ,36950 ,25340 ,38680 ,,,,,,,
11,11001,Cardigan,29570,1203686000 ,1360 ,2240 ,2020 ,2050 ,2130 ,2280 ,2400 ,2810 ,2750 ,2690 ,2590 ,1640 ,2630 ,,,,,,,
11,11002,Charlottetown,28770,1169359000 ,1270 ,2520 ,2400 ,2060 ,1950 ,2030 ,2200 ,2470 ,2480 ,2450 ,2210 ,1560 ,3170 ,,,,,,,
11,11003,Egmont,29680,1088288000 ,1430 ,2080 ,1890 ,1860 ,1980 ,2200 ,2340 ,2880 ,2820 ,2640 ,2540 ,1720 ,3290 ,,,,,,,
11,11004,Malpeque,27700,1138097000 ,1460 ,2020 ,1750 ,1860 ,2020 ,2180 ,2310 ,2800 ,2710 ,2430 ,2290 ,1500 ,2370 ,,,,,,,
TOTAL,,,115700,4599431000 ,5520 ,8860 ,8050 ,7830 ,8070 ,8690 ,9250 ,10960 ,10760 ,10210 ,9630 ,6410 ,11450 ,,,,,,,
12,12001,Cape Breton--Canso,58770,2218358000 ,2230 ,3910 ,3260 ,3130 ,3410 ,3890 ,4340 ,5450 ,5980 ,6170 ,5900 ,4140 ,6960 ,,,,,,,
12,12002,Central Nova,58850,2353212000 ,2190 ,3900 ,3560 ,3490 ,3830 ,4220 ,4490 ,5490 ,5910 ,5780 ,5540 ,3850 ,6600 ,,,,,,,
12,12003,Cumberland--Colchester,65410,2402724000 ,2540 ,4440 ,3940 ,3900 ,4000 ,4770 ,5010 ,6260 ,6320 ,6170 ,5910 ,4330 ,7830 ,,,,,,,
12,12004,Dartmouth--Cole Harbour,73530,3324292000 ,2600 ,5630 ,6010 ,5760 ,5630 ,5590 ,5740 ,7360 ,7210 ,6230 ,5250 ,3620 ,6910 ,,,,,,,
12,12005,Halifax,71410,3618078000 ,2130 ,7620 ,8610 ,6790 ,5210 ,4820 ,4890 ,5750 ,5790 ,5450 ,4710 ,3150 ,6500 ,,,,,,,
12,12006,Halifax West,73070,3697981000 ,2850 ,5940 ,6600 ,6290 ,6130 ,6450 ,6390 ,7060 ,6020 ,5100 ,4660 ,3440 ,6150 ,,,,,,,
12,12007,Kings--Hants,68570,2699764000 ,2630 ,4870 ,4440 ,4290 ,4750 ,5310 ,5710 ,6940 ,6850 ,6190 ,5660 ,3950 ,6970 ,,,,,,,
12,12008,Sackville--Preston--Chezzetcook,69230,3202867000 ,2980 ,5260 ,5100 ,5420 ,5880 ,6370 ,6430 ,7610 ,6670 ,5360 ,4780 ,3210 ,4150 ,,,,,,,
12,12009,South Shore--St. Margarets,77840,3185422000 ,2770 ,4540 ,4290 ,4360 ,4740 ,5580 ,6300 ,7740 ,8050 ,7710 ,7500 ,5240 ,9030 ,,,,,,,
12,12010,Sydney--Victoria,61820,2147803000 ,2170 ,4580 ,4110 ,3680 ,3680 ,4080 ,4580 ,5870 ,6310 ,6070 ,5530 ,3910 ,7260 ,,,,,,,
12,12011,West Nova,69590,2448121000 ,2880 ,4200 ,4000 ,4040 ,4100 ,4710 ,5440 ,6990 ,7050 ,6450 ,6500 ,4700 ,8540 ,,,,,,,
TOTAL,,,748080,31298623000 ,27940 ,54880 ,53910 ,51170 ,51360 ,55770 ,59320 ,72520 ,72160 ,66670 ,61950 ,43540 ,76900 ,,,,,,,
13,13001,Acadie--Bathurst,68250,2391398000 ,2280 ,3830 ,3490 ,3730 ,4240 ,4910 ,5660 ,6930 ,7340 ,7150 ,6550 ,4530 ,7600 ,,,,,,,
13,13002,Beauséjour,68700,2747456000 ,2680 ,3970 ,4060 ,4790 ,5290 ,5490 ,5490 ,6610 ,6740 ,6800 ,5980 ,4050 ,6750 ,,,,,,,
13,13003,Fredericton,63670,2820138000 ,2390 ,5650 ,5740 ,5440 ,5220 ,5160 ,5120 ,5550 ,5220 ,4650 ,4370 ,3080 ,6090 ,,,,,,,
13,13004,Fundy Royal,63930,2760940000 ,2910 ,4340 ,4020 ,4340 ,4950 ,5520 ,5580 ,6290 ,5960 ,5690 ,5460 ,3430 ,5450 ,,,,,,,
13,13005,Madawaska--Restigouche,52070,1784250000 ,1970 ,3020 ,2800 ,2950 ,3230 ,3480 ,3960 ,5390 ,5850 ,5340 ,4880 ,3330 ,5880 ,,,,,,,
13,13006,Miramichi--Grand Lake,48610,1609786000 ,1790 ,3090 ,2660 ,2660 ,2950 ,3640 ,4010 ,4750 ,4920 ,4850 ,4580 ,3130 ,5570 ,,,,,,,
13,13007,Moncton--Riverview--Dieppe,74100,3009398000 ,2610 ,6030 ,6180 ,6160 ,5890 ,6150 ,5730 ,6580 ,6160 ,5630 ,5240 ,3880 ,7870 ,,,,,,,
13,13008,New Brunswick Southwest,52870,2144099000 ,2090 ,3570 ,3340 ,3500 ,3850 ,4130 ,4370 ,5350 ,5230 ,5050 ,4400 ,3010 ,4980 ,,,,,,,
13,13009,Saint John--Rothesay,63510,2622513000 ,2370 ,4960 ,4770 ,4580 ,4550 ,4850 ,5060 ,6160 ,6020 ,5340 ,4740 ,3450 ,6670 ,,,,,,,
13,13010,Tobique--Mactaquac,55580,2014958000 ,2390 ,3690 ,3420 ,3750 ,3960 ,4420 ,4580 ,5390 ,5610 ,5300 ,4780 ,3060 ,5230 ,,,,,,,
TOTAL,,,611300,23904935000 ,23490 ,42150 ,40470 ,41900 ,44130 ,47740 ,49550 ,59000 ,59050 ,55800 ,50990 ,34950 ,62080 ,,,,,,,
24,24001,Abitibi--Baie-James--Nunavik--Eeyou,62480,2432949000 ,3510 ,5800 ,5680 ,5300 ,5240 ,5080 ,5020 ,6010 ,5820 ,4730 ,3770 ,2630 ,3910 ,,,,,,,
24,24002,Abitibi--Témiscamingue,83750,3482877000 ,3840 ,6280 ,6080 ,6200 ,6160 ,5810 ,6140 ,8120 ,8830 ,7650 ,6190 ,4560 ,7920 ,,,,,,,
24,24003,Ahuntsic-Cartierville,90230,3622677000 ,2820 ,6130 ,7240 ,8450 ,8720 ,7930 ,7450 ,7380 ,7230 ,6170 ,5360 ,4330 ,11030 ,,,,,,,
24,24004,Alfred-Pellan,80400,3632443000 ,3410 ,6540 ,5450 ,5390 ,5920 ,6460 ,7310 ,8200 ,7740 ,6220 ,5070 ,4110 ,8590 ,,,,,,,
24,24005,Argenteuil--La Petite-Nation,79010,2978283000 ,2790 ,5000 ,5140 ,5150 ,5330 ,5490 ,6110 ,8190 ,8620 ,7940 ,6850 ,5130 ,7290 ,,,,,,,
24,24006,Avignon--La Mitis--Matane--Matapédia,61090,1972929000 ,2220 ,3760 ,3400 ,3610 ,3930 ,3700 ,3950 ,5870 ,7000 ,6600 ,5860 ,4110 ,7080 ,,,,,,,
